,original,gemini_translation
0,"Garm Totryl: You are crazy-fast, you know that? I saw your races and... well, I'm just amazed. What do you need?","গার্ম টোট্রিল: তুমি যে কী পরিমাণ দ্রুত, সেটা কি জানো? আমি তোমার রেসগুলো দেখেছি এবং... সত্যি বলতে, আমি মুগ্ধ। তোমার কী চাই?
"
1,"Wookiee Guard: Chuundar has said that you can remain here, but watch where you step while in our village, outsider.","Wookiee Guard: চুন্ডার বলেছে তুমি এখানে থাকতে পারো, কিন্তু আমাদের গ্রামে থাকার সময় দেখে পা ফেলো, বহিরাগত।
"
2,Rwookrrorro Guard: Take your concerns to Janos at the docking port. Rwookrrorro is under the joint protection of Chuundar and Czerka Corporation.,"রুউক্‌রোরোর প্রহরী: ডকিং পোর্টে যানোস-এর কাছে আপনার উদ্বেগের কথা জানান। রুউক্‌রোরো চুন্ডার এবং Czerka কর্পোরেশনের যৌথ সুরক্ষার অধীনে রয়েছে।
"
3,"Sith Teacher: Now if you will excuse me, I must return to my studies."," Sith শিক্ষক: এখন যদি আপনি আমাকে ক্ষমা করেন, তবে আমাকে আমার পড়াশোনায় ফিরে যেতে হবে।
"
4,Player: Tell me about Sunry and Elassa.,"খেলোয়াড়: সানরি এবং এলাসা সম্পর্কে আমাকে বলুন।
"
5,"Conversation owner: You aren't assigned to the excavation team, are you?","কথোপকথনের মালিক: তোমাকে খননকারী দলে তো নিযুক্ত করা হয়নি, তাই না?
"
6,"VulkarMech01: Back again, rookie? How things going? Everyone treating you okay? Is there something you need?","ভুলকারমেক০১: আবার এলে, শিক্ষানবিশ? কেমন চলছে সব? সবাই ঠিকমতো ব্যবহার করছে তো? কিছু দরকার?
"
7,"Gandroff: Uh, keep safe. Yup. Yup. Seems like tough times are coming.","গ্যান্ডরফ: উম, নিরাপদে থাকবেন। হ্যাঁ। হ্যাঁ। মনে হচ্ছে কঠিন সময় আসছে।
"
8,"Conversation owner: I don't mind this place, but I wish it wasn't so close to the bounty office. Those guys are hired killers - I don't like it when they come in here for a drink.","কথোপকথনের মালিক: আমার এই জায়গাটা খারাপ লাগে না, তবে এটা বাউন্টি অফিসের এত কাছে না হলেই ভালো হতো। ঐ লোকগুলো ভাড়াটে খুনি - যখন ওরা এখানে ড্রিঙ্ক করতে আসে আমার ভালো লাগে না।
"
9,"Player: Your tricks don't fool me, Rulan!","প্লেয়ার: তোমার চালাকি আমাকে বোকা বানাতে পারবে না, রুলাম!
"
10,"Bastila: I can feel the power of the Force within you, old man, but I do not sense the taint of the dark side. I think you are a servant of the light, despite what you claim.","বাস্তিলা: আমি তোমার মধ্যে ফোর্সের শক্তি অনুভব করতে পারছি, বৃদ্ধ, কিন্তু আমি অন্ধকার দিকের কলুষতা টের পাচ্ছি না। আমার মনে হয় তুমি আলোর সেবক, তুমি যাই দাবি করো না কেন।
"
11,Player: Forget it. Let's just get to the racing!,"বাদ দাও তো। চলো, বরং রেসিং-এর দিকে মন দেই!
"
12,Carth: Sounds like you've got a faulty droid on your hands.,"কার্থ: মনে হচ্ছে তোমার হাতে একটা ত্রুটিপূর্ণ ড্রয়েড পড়েছে।
"
13,Envirosuit dude2: That was a truly noble act. The Jedi Council would be pleased.,"এনভাইরোস্যুট লোক ২: এটা সত্যিই একটা মহৎ কাজ ছিল। জেডি কাউন্সিল খুশি হবে।
"
14,"Conversation owner: You knew I would one day challenge you for supremacy, but you underestimated me. I acted sooner than you expected and seized the Sith throne with a single brilliant stroke!","কথোপকথনের মালিক: আপনি জানতেন একদিন আমি আপনার আধিপত্যের জন্য আপনাকে চ্যালেঞ্জ করব, কিন্তু আপনি আমাকে কম করে দেখেছিলেন। আমি আপনার প্রত্যাশার চেয়ে দ্রুত কাজ করেছি এবং একটি উজ্জ্বল চালের মাধ্যমে সিথ সিংহাসন দখল করেছি!
"
15,Player: We should get going.,"খেলোয়াড়: আমাদের এখন যাওয়া উচিত।
"
16,"Gandroff: That's an old track tale, you know; when the wind decides to stop fighting? I used to have that. Heh... not any more.","গ্যান্ড্রফ: এটা পুরনো ট্র্যাকের গল্প, জানো তো; যখন বাতাস আর লড়তে চায় না? আমার কাছেও ছিল এটা। হেঃ... আর নেই।
"
17,"Sith Soldier: Kolto's real scarce all of a sudden. From what I hear, the Republic is to blame."," Sith Soldier: কোল্টো আজকাল খুব অভাব। যা শুনেছি, এর জন্য রিপাবলিক দায়ী।
"
18,Czerka Merchant Officer: Go to the Czerka offices if you want a job. I'm off duty.,"Czerka বণিক অফিসার: যদি কাজ পেতে চাও Czerka অফিসে যাও। আমি এখন ডিউটিতে নেই।
"
19,Sith Student: Word is that one of our experimental droids went mad and escaped and is hiding in the ruins. I wonder why we don't just gather it up and destroy it?," Sith Student: শুনা যায় আমাদের একটা পরীক্ষামূলক ড্রয়েড পাগল হইয়া পালাইছে এবং ধ্বংসস্তূপের মধ্যে লুকাইয়া আছে। আমি ভাবি কেন আমরা ওটাকে ধরি না আর ধ্বংস করি না?
"
20,"Woman: I can't believe the Sith put a quarantine on the planet! It's bad enough we can't leave, but all you off-worlders are stuck here, too!","মহিলা: আমি বিশ্বাস করতে পারছি না সিথরা গ্রহের উপর каран্টিন জারি করেছে! আমরা যে এখান থেকে যেতে পারছি না সেটাই যথেষ্ট খারাপ, তার উপর তোমরা সব ভিনগ্রহের লোকেরাও এখানে আটকে গেছো!
"
21,K-X12b Battle Droid: Group Status by Unit: K-X12c: Primary motivators offline. Error introduced by Slimeball Must Die subscript.,"কে-এক্স১২বি যুদ্ধ ড্রয়েড: ইউনিট অনুযায়ী দলের অবস্থা: কে-এক্স১২সি: প্রধান চালিকাশক্তি অফলাইন। স্লাইমবল মাস্ট ডাই স্ক্রিপ্ট দ্বারা ত্রুটি প্রবর্তিত।
"
22,"Player: I guess we'll do this the hard way, then.","তাহলে মনে হচ্ছে আমাদের এটা কঠিন ভাবেই করতে হবে।
"
23,"Duel Spectator: You'd think Duncan would want to retire after losing to a raw rookie, but old Deadeye is still at it. Gotta admire his persistence, I guess.","দ্বৈরথ দর্শক: ভাবা যায়, ডানকান একটা আনাড়ি শিক্ষানবিশের কাছে হেরে গিয়েও অবসর নিতে চাইছে না, বুড়ো ডেডআই এখনও লেগে আছে। লোকটার অধ্যবসায়কে কুর্নিশ জানাতে হয়, বুঝলে তো।
"
24,Swoop Fan: I cheer for Queedle now that he's winning. It would take an amazing racer to win me away.,"সুপ ফ্যান: কুইডল জিতছে বলে আমি এখন তাকেই সমর্থন করি। আমাকে অন্য দিকে টানতে হলে একজন অসাধারণ রেসার লাগবে।
"
25,"Player: Time for this to end, Bastila!","এবার শেষ করার পালা, বাস্তিলা!
"
26,Czerka Patrol Guard: Czerka Corporation should burn down some trees. Make room for some swoop races.,"জেরকা পেট্রোল গার্ড: জেরকা কর্পোরেশনের কিছু গাছপালা পুড়িয়ে দেওয়া উচিত। কিছু swoop রেসের জন্য জায়গা করা উচিত।
"
27,"Vrook Lamar: You would do well to focus more closely on your lessons. The Force is strong with you, but you need training and guidance in the ways of the Jedi, lest you suffer a fate similar to that of Revan.","ভ্ৰুক লামার: আপনার উচিত আপনার পাঠের দিকে আরও মনোযোগ দেওয়া। আপনার মধ্যে ফোর্সের শক্তি বিদ্যমান, তবে রেভানের মতো পরিণতি এড়াতে আপনার জেদির পথে প্রশিক্ষণ এবং নির্দেশনার প্রয়োজন।
"
28,"HK-47: Agreement: This was my thought as well, master. You show excellent logical skills... for a meatbag.","HK-47: সম্মতি: আমারও একই চিন্তা ছিল, প্রভু। আপনি চমৎকার যুক্তিবোধ দেখিয়েছেন... মাংসের থলের জন্য।
"
29,"Conversation owner: If you have questions, you should direct them towards the Jedi Council members.","কথোপকথনের মালিক: যদি আপনার প্রশ্ন থাকে, তবে সেগুলি সরাসরি জেদি কাউন্সিল সদস্যদের দিকে নির্দেশ করুন।
"
30,"Hukta Jax: Yeah, you go then, and leave me alone.","হুক্টা জ্যাক্স: হ্যাঁ, তা যা, তুই যা এখান থেকে, আর আমাকে একা থাকতে দে।
"
31,Player: Why test me? Who have you done this for?,"খেলোয়াড়: কেন আমার পরীক্ষা নিচ্ছ? কার জন্য তুমি এটা করেছ?
"
32,Hidden Bek: Brejik is nothing but a punk! I don't know why those Vulkars follow him - Gadon's ten times the man he is!,"গুপ্ত বেক: ব্রেজিক একটা পাং ছাড়া আর কিছুই না! আমি জানি না কেন ওই ভালকাররা ওকে অনুসরণ করে - গ্যাডন ওর থেকে দশ গুণ ভালো!
"
33,"Carth: Droid like this usually doesn't have former owners that survived, it would be my guess.","কার্থ: আমার মনে হয় এই ধরণের ড্রয়েডের সাধারণত কোন প্রাক্তন মালিক জীবিত থাকে না।
"
34,Player: How do we get the race started?,"খেলোয়াড়: আমরা কীভাবে রেস শুরু করব?
"
35,Player: Mind telling me who and what you are?,"খেলোয়াড়: আপনি কে এবং কী, সেটা বলবেন কি?
"
36,Sith Student: You aren't even a full Sith. Don't bother me.,"শিথ শিক্ষানবিশ: তুই তো পুরো শিথ-ও নোস। বিরক্ত করিস না।
"
37,"Czerka Patrol Guard: Take a walk, spacer. You don't look like a big buyer to me.","জেরকা টহল প্রহরী: হাঁটো এখান থেকে, মহাকাশযাত্রী। তোমাকে দেখে বড় খদ্দের মনে হচ্ছে না।
"
38,"Taris Citizen: Hey - you're the Mysterious Stranger! I saw you take out Bendak. Very harsh, man! You're one stone cold killer!","তারিসবাসী: এই যে - আপনিই সেই রহস্যময় আগন্তুক! আমি দেখেছি আপনি বেন্ডাককে শেষ করেছেন। খুবই কঠিন ছিলেন, ভাই! আপনি একজন নির্দয় কিলার!
"
