,original,gemini_translation
0,"Garm Totryl: You are crazy-fast, you know that? I saw your races and... well, I'm just amazed. What do you need?","Garm Totryl: Você é incrivelmente rápido, sabia? Eu vi suas corridas e... bem, estou impressionado. Do que você precisa?
"
1,"Wookiee Guard: Chuundar has said that you can remain here, but watch where you step while in our village, outsider.","Guarda Wookiee: Chuundar permitiu que você permaneça aqui, mas cuidado onde pisa em nossa aldeia, forasteiro.
"
2,Rwookrrorro Guard: Take your concerns to Janos at the docking port. Rwookrrorro is under the joint protection of Chuundar and Czerka Corporation.,"Guarda de Rwookrrorro: Leve suas preocupações para Janos no cais de atracação. Rwookrrorro está sob a proteção conjunta de Chuundar e da Corporação Czerka.
"
3,"Sith Teacher: Now if you will excuse me, I must return to my studies.","Mestre Sith: Agora, se me dão licença, devo retornar aos meus estudos.
"
4,Player: Tell me about Sunry and Elassa.,"Jogador: Conte-me sobre Sunry e Elassa.
"
5,"Conversation owner: You aren't assigned to the excavation team, are you?","Dono da conversa: Você não está designado para a equipe de escavação, está?
"
6,"VulkarMech01: Back again, rookie? How things going? Everyone treating you okay? Is there something you need?","VulkarMech01: De volta, novato? Como estão as coisas? Estão te tratando bem? Precisa de algo?
"
7,"Gandroff: Uh, keep safe. Yup. Yup. Seems like tough times are coming.","Gandroff: Hum, se cuide. Sim. Sim. Parece que tempos difíceis estão chegando.
"
8,"Conversation owner: I don't mind this place, but I wish it wasn't so close to the bounty office. Those guys are hired killers - I don't like it when they come in here for a drink.","Dono da conversa: Não me importo com este lugar, mas queria que não fosse tão perto do escritório de recompensas. Aqueles caras são assassinos contratados - não gosto quando eles vêm aqui beber.
"
9,"Player: Your tricks don't fool me, Rulan!","Jogador: Seus truques não me enganam, Rulan!
"
10,"Bastila: I can feel the power of the Force within you, old man, but I do not sense the taint of the dark side. I think you are a servant of the light, despite what you claim.","Bastila: Sinto o poder da Força em você, velho, mas não percebo a corrupção do lado sombrio. Creio que você serve à luz, apesar do que alega.
"
11,Player: Forget it. Let's just get to the racing!,"Jogador: Esquece. Vamos logo para a corrida!
"
12,Carth: Sounds like you've got a faulty droid on your hands.,"Carth: Parece que você está com um droide defeituoso nas mãos.
"
13,Envirosuit dude2: That was a truly noble act. The Jedi Council would be pleased.,"Cara do traje ambiental 2: Esse foi um ato verdadeiramente nobre. O Conselho Jedi ficaria satisfeito.
"
14,"Conversation owner: You knew I would one day challenge you for supremacy, but you underestimated me. I acted sooner than you expected and seized the Sith throne with a single brilliant stroke!","Você sabia que um dia eu o desafiaria pela supremacia, mas me subestimou. Agi mais rápido do que esperava e tomei o trono Sith com um único golpe genial!
"
15,Player: We should get going.,"Jogador: Devemos ir.
"
16,"Gandroff: That's an old track tale, you know; when the wind decides to stop fighting? I used to have that. Heh... not any more.","Gandroff: Isso é uma lenda antiga dos trilhos, sabe; quando o vento decide parar de lutar? Eu costumava ter isso. Heh... não mais.
"
17,"Sith Soldier: Kolto's real scarce all of a sudden. From what I hear, the Republic is to blame.","Soldado Sith: O kolto anda bem escasso de repente. Pelo que ouvi dizer, a culpa é da República.
"
18,Czerka Merchant Officer: Go to the Czerka offices if you want a job. I'm off duty.,"Oficial Mercantil Czerka: Vá aos escritórios da Czerka se quer um trabalho. Estou de folga.
"
19,Sith Student: Word is that one of our experimental droids went mad and escaped and is hiding in the ruins. I wonder why we don't just gather it up and destroy it?,"Estudante Sith: Correu a notícia de que um dos nossos dróides experimentais enlouqueceu, escapou e está se escondendo nas ruínas. Por que será que não o capturamos e destruímos de uma vez?
"
20,"Woman: I can't believe the Sith put a quarantine on the planet! It's bad enough we can't leave, but all you off-worlders are stuck here, too!","Mulher: Não acredito que os Sith puseram o planeta em quarentena! Já não basta a gente não poder sair, mas todos vocês, forasteiros, estão presos aqui também!
"
21,K-X12b Battle Droid: Group Status by Unit: K-X12c: Primary motivators offline. Error introduced by Slimeball Must Die subscript.,"Droide de Batalha K-X12b: Status do Grupo por Unidade: K-X12c: Motivadores primários offline. Erro introduzido pelo subscrito ""Babaca Tem Que Morrer"".
"
22,"Player: I guess we'll do this the hard way, then.","Jogador: Acho que vamos fazer isso do jeito difícil, então.
"
23,"Duel Spectator: You'd think Duncan would want to retire after losing to a raw rookie, but old Deadeye is still at it. Gotta admire his persistence, I guess.","Espectador do Duelo: Diria que Duncan ia querer se aposentar depois de perder para um novato cru, mas o velho Olho Morto ainda está nessa. Tenho que admirar a persistência dele, suponho.
"
24,Swoop Fan: I cheer for Queedle now that he's winning. It would take an amazing racer to win me away.,"Fã de Swoop: Eu torço para o Queedle agora que ele está ganhando. Precisaria de um piloto incrível para me fazer mudar de lado.
"
25,"Player: Time for this to end, Bastila!","Jogador: Chegou a hora de acabar com isso, Bastila!
"
26,Czerka Patrol Guard: Czerka Corporation should burn down some trees. Make room for some swoop races.,"Guarda da Patrulha Czerka: A Corporação Czerka devia queimar umas árvores. Abrir espaço para umas corridas de swoop.
"
27,"Vrook Lamar: You would do well to focus more closely on your lessons. The Force is strong with you, but you need training and guidance in the ways of the Jedi, lest you suffer a fate similar to that of Revan.","Vrook Lamar: Seria sensato focar-se mais nas suas lições. A Força é forte em você, mas você precisa de treinamento e orientação nos caminhos Jedi, para que não sofra um destino similar ao de Revan.
"
28,"HK-47: Agreement: This was my thought as well, master. You show excellent logical skills... for a meatbag.","HK-47: Concordância: Este também foi meu pensamento, mestre. Você demonstra excelentes habilidades lógicas... para um saco de carne.
"
29,"Conversation owner: If you have questions, you should direct them towards the Jedi Council members.","Dono da conversa: Se tiver perguntas, deve direcioná-las aos membros do Conselho Jedi.
"
30,"Hukta Jax: Yeah, you go then, and leave me alone.","Hukta Jax: Certo, vai lá então, e me deixa em paz.
"
31,Player: Why test me? Who have you done this for?,"Jogador: Por que me testar? Para quem você fez isso?
"
32,Hidden Bek: Brejik is nothing but a punk! I don't know why those Vulkars follow him - Gadon's ten times the man he is!,"Bek Escondido: Brejik não passa de um punk! Não sei por que aqueles Vulkars o seguem - Gadon é dez vezes mais homem que ele!
"
33,"Carth: Droid like this usually doesn't have former owners that survived, it would be my guess.","Carth: Droides como este geralmente não têm antigos donos que sobreviveram, eu diria.
"
34,Player: How do we get the race started?,"Jogador: Como é que fazemos a corrida começar?
"
35,Player: Mind telling me who and what you are?,"Jogador: Importa-se de me dizer quem e o que você é?
"
36,Sith Student: You aren't even a full Sith. Don't bother me.,"Discípulo Sith: Você nem sequer é um Sith completo. Não me perturbe.
"
37,"Czerka Patrol Guard: Take a walk, spacer. You don't look like a big buyer to me.","Guarda da Patrulha Czerka: Circule, forasteiro. Não me parece ser um grande comprador.
"
38,"Taris Citizen: Hey - you're the Mysterious Stranger! I saw you take out Bendak. Very harsh, man! You're one stone cold killer!","Cidadão de Taris: Ei, você é o Estranho Misterioso! Eu vi você acabar com o Bendak. Que brutal, cara! Você é um assassino sangue frio!
"
39,Player: I don't get it. Is this the Star Forge?,"Jogador: Não entendo. Isto é a Forja Estelar?
"
40,"Sslamoth: Very well, but before we place your swoop in the starting position, I must collect the 100 credit fee.","Sslamoth: Muito bem, mas antes de colocarmos sua swoop na posição inicial, devo cobrar a taxa de 100 créditos.
"
41,Conversation owner: [This door is locked and will not open at the moment.],"[Esta porta está trancada e não se abrirá neste momento.]
"
42,Yuthura Ban: Speak with Master Uthar; he will give you the final test.,"Yuthura Ban: Fale com o Mestre Uthar; ele lhe dará o teste final.
"
43,Player: You should not keep worrying like this.,"Jogador: Não devias continuar a preocupar-te assim.
"
44,Junkpile Droid: You leave the droid alone for now.,"Droid da Sucata: Deixe o droide em paz agora.
"
45,"Carth: *whisper* It's obvious he doesn't believe you. He must have some reason for letting you get away with this lie. I swear, I'll never understand these Jedi.","Carth: *sussurrando* É óbvio que ele não acredita em você. Ele deve ter algum motivo para te deixar escapar com essa mentira. Eu juro, nunca vou entender esses Jedi.
"
46,Carth: Why did you do that? Sometimes... sometimes I just can't understand how you can be so cruel.,"Carth: Por que você fez isso? Às vezes... às vezes eu simplesmente não consigo entender como você pode ser tão cruel.
"
47,"Garm Totryl: New swoop jocks like me don't get much respect. Just takes practice, I guess.","Garm Totryl: Novatos como eu não recebem muito respeito. Acho que é só praticar.
"
48,Player: Is there some point to this?,"Jogador: Isto tem algum propósito?
"
49,Docking Bay Guard: We'll watch your ship like any other. The bay is safe.,"Guarda da Baía de Atracagem: Vigiaremos sua nave como qualquer outra. A baía é segura.
"
50,"Player: My money is my own business.
Yuka Laka: Of course it is, of course, but you must appreciate the finer things. Just take a look at the droid I have available. An HK-47.","Jogador: O meu dinheiro não é da sua conta.
Yuka Laka: Claro, claro, mas você precisa apreciar as coisas boas da vida. Dê só uma olhada no droide que tenho disponível. Um HK-47.
"
51,"Player: What's this? Love advice from an old Jedi?
Jolee: And why not? All this nonsense about avoiding love is so much foo-foo. I shouldn't be the only one who realizes that.","Jogador: O que é isso? Conselhos amorosos de um velho Jedi?
Jolee: E por que não? Essa bobagem toda de evitar o amor é pura balela. Não devia ser o único a perceber isso.
"
52,"Player: I will race, and I will win.
Hukta Jax: Then you and Hukta Jax are gonna have problems, I promise you that. You was warned, fair and square.","Jogador: Eu vou correr, e eu vou vencer.
Hukta Jax: Então você e Hukta Jax vão ter problemas, eu te prometo. Foi avisado, de forma justa e clara.
"
53,"Player: Perhaps you are right. You are safe... for now.
Komad Fortuna: There seems to be no reason for your anger, human. You would be wise to control it, lest it bury you.","Jogador: Talvez você esteja certo. Você está seguro... por enquanto.
Komad Fortuna: Não parece haver razão para sua raiva, humano. Seria sábio controlá-la, para que ela não o consumed.
"
