,original,gemini_translation
0,"Garm Totryl: You are crazy-fast, you know that? I saw your races and... well, I'm just amazed. What do you need?","Garm Totryl: ¡Eres endiabladamente rápido, ¿lo sabías? Vi tus carreras y... bueno, estoy simplemente alucinado. ¿Qué necesitas?
"
1,"Wookiee Guard: Chuundar has said that you can remain here, but watch where you step while in our village, outsider.","Guardia wookiee: Chuundar ha dicho que puedes permanecer aquí, pero ten cuidado por dónde pisas en nuestra aldea, forastero.
"
2,Rwookrrorro Guard: Take your concerns to Janos at the docking port. Rwookrrorro is under the joint protection of Chuundar and Czerka Corporation.,"Guardia de Rwookrrorro: Lleva tus quejas a Janos, en el puerto de atraque. Rwookrrorro está bajo la protección conjunta de Chuundar y la Corporación Czerka.
"
3,"Sith Teacher: Now if you will excuse me, I must return to my studies.","Profesor Sith: Ahora, si me disculpas, debo volver a mis estudios.
"
4,Player: Tell me about Sunry and Elassa.,"Jugador: Cuéntame sobre Sunry y Elassa.
"
5,"Conversation owner: You aren't assigned to the excavation team, are you?","¿No estarás asignado al equipo de excavación, verdad?
"
6,"VulkarMech01: Back again, rookie? How things going? Everyone treating you okay? Is there something you need?","VulkarMech01: ¿Otra vez por aquí, novato? ¿Qué tal te va? ¿Te están tratando bien? ¿Necesitas algo?
"
7,"Gandroff: Uh, keep safe. Yup. Yup. Seems like tough times are coming.","Gandroff: Eh, cuídate. Sip. Sip. Parece que se avecinan tiempos difíciles.
"
8,"Conversation owner: I don't mind this place, but I wish it wasn't so close to the bounty office. Those guys are hired killers - I don't like it when they come in here for a drink.","No me disgusta este lugar, pero desearía que no estuviera tan cerca de la oficina de recompensas. Esos tipos son asesinos a sueldo, y no me gusta cuando vienen aquí a beber.
"
9,"Player: Your tricks don't fool me, Rulan!","¡Tus trucos no me engañan, Rulan!
"
10,"Bastila: I can feel the power of the Force within you, old man, but I do not sense the taint of the dark side. I think you are a servant of the light, despite what you claim.","Bastila: Siento el poder de la Fuerza en ti, anciano, pero no percibo la corrupción del lado oscuro. Creo que eres un sirviente de la luz, a pesar de lo que afirmas.
"
11,Player: Forget it. Let's just get to the racing!,"Jugador: Olvídalo. ¡Vamos a las carreras de una vez!
"
12,Carth: Sounds like you've got a faulty droid on your hands.,"Carth: Parece que tienes un droide defectuoso entre manos.
"
13,Envirosuit dude2: That was a truly noble act. The Jedi Council would be pleased.,"Tipo del traje ambiental: Ha sido un acto verdaderamente noble. El Consejo Jedi estaría complacido.
"
14,"Conversation owner: You knew I would one day challenge you for supremacy, but you underestimated me. I acted sooner than you expected and seized the Sith throne with a single brilliant stroke!","Lo sabías... que algún día te desafiaría por la supremacía, pero me subestimaste. ¡Actué antes de lo que esperabas y me apoderé del trono Sith con un solo golpe maestro!
"
15,Player: We should get going.,"Jugador: Deberíamos ponernos en marcha.
"
16,"Gandroff: That's an old track tale, you know; when the wind decides to stop fighting? I used to have that. Heh... not any more.","Gandroff: Esa es una vieja historia de las vías, ¿sabes? ¿Cuando el viento decide dejar de luchar? Yo solía tener eso. Je... ya no más.
"
17,"Sith Soldier: Kolto's real scarce all of a sudden. From what I hear, the Republic is to blame.","Soldado Sith: El kolto escasea de repente. Por lo que oigo, la República tiene la culpa.
"
18,Czerka Merchant Officer: Go to the Czerka offices if you want a job. I'm off duty.,"Oficial Mercantil de Czerka: Si quieres un trabajo, ve a las oficinas de Czerka. Estoy fuera de servicio.
"
19,Sith Student: Word is that one of our experimental droids went mad and escaped and is hiding in the ruins. I wonder why we don't just gather it up and destroy it?,"Estudiante Sith: Se rumorea que uno de nuestros droides experimentales se volvió loco y escapó, y ahora se esconde en las ruinas. Me pregunto, ¿por qué no lo recuperamos y lo destruimos de una vez?
"
20,"Woman: I can't believe the Sith put a quarantine on the planet! It's bad enough we can't leave, but all you off-worlders are stuck here, too!","Mujer: ¡No puedo creer que los Sith hayan puesto el planeta en cuarentena! ¡Ya es bastante malo que no podamos irnos, pero encima todos vosotros, los forasteros, estáis atrapados aquí también!
"
21,K-X12b Battle Droid: Group Status by Unit: K-X12c: Primary motivators offline. Error introduced by Slimeball Must Die subscript.,"Droide de batalla K-X12b: Estado del grupo por unidad: K-X12c: Motivadores primarios desconectados. Error introducido por el subprograma ""Baboso Debe Morir"".
"
22,"Player: I guess we'll do this the hard way, then.","Jugador: Supongo que tendremos que hacerlo por las malas, entonces.
"
23,"Duel Spectator: You'd think Duncan would want to retire after losing to a raw rookie, but old Deadeye is still at it. Gotta admire his persistence, I guess.","Espectador del Duelo: Uno pensaría que Duncan querría retirarse después de perder contra un novato, pero el viejo Ojo Muerto sigue dándole. Supongo que hay que admirar su persistencia.
"
24,Swoop Fan: I cheer for Queedle now that he's winning. It would take an amazing racer to win me away.,"Fanático de swoop: Ahora animo a Queedle, ya que está ganando. Se necesitaría un piloto asombroso para convencerme de lo contrario.
"
25,"Player: Time for this to end, Bastila!","Jugador: ¡Es hora de que esto termine, Bastila!
"
26,Czerka Patrol Guard: Czerka Corporation should burn down some trees. Make room for some swoop races.,"Guardia de patrulla Czerka: La Corporación Czerka debería quemar algunos árboles. Hacer espacio para algunas carreras de swoop.
"
27,"Vrook Lamar: You would do well to focus more closely on your lessons. The Force is strong with you, but you need training and guidance in the ways of the Jedi, lest you suffer a fate similar to that of Revan.","Vrook Lamar: Harías bien en concentrarte más en tus lecciones. La Fuerza es intensa en ti, pero necesitas entrenamiento y guía en los caminos Jedi, no sea que sufras un destino similar al de Revan.
"
28,"HK-47: Agreement: This was my thought as well, master. You show excellent logical skills... for a meatbag.","HK-47: Afirmación: Ese era mi pensamiento también, maestro. Demuestra excelentes habilidades lógicas... para un saco de carne.
"
29,"Conversation owner: If you have questions, you should direct them towards the Jedi Council members.","Si tienes preguntas, deberías dirigirte a los miembros del Consejo Jedi.
"
30,"Hukta Jax: Yeah, you go then, and leave me alone.","Hukta Jax: Sí, vete ya, y déjame en paz.
"
31,Player: Why test me? Who have you done this for?,"Jugador: ¿Por qué me pones a prueba? ¿Para quién has hecho esto?
"
32,Hidden Bek: Brejik is nothing but a punk! I don't know why those Vulkars follow him - Gadon's ten times the man he is!,"Bek Oculto: ¡Brejik no es más que un matón! No sé por qué esos Vulkars le siguen, ¡Gadon le da diez vueltas!
"
33,"Carth: Droid like this usually doesn't have former owners that survived, it would be my guess.","Carth: Un droide como este no suele tener antiguos dueños que hayan sobrevivido, diría yo.
"
34,Player: How do we get the race started?,"Jugador: ¿Cómo hacemos para que empiece la carrera?
"
35,Player: Mind telling me who and what you are?,"Jugador: ¿Te importaría decirme quién y qué eres?
"
36,Sith Student: You aren't even a full Sith. Don't bother me.,"Estudiante Sith: Ni siquiera eres un Sith completo. No me molestes.
"
37,"Czerka Patrol Guard: Take a walk, spacer. You don't look like a big buyer to me.","Guardia de patrulla Czerka: Lárgate, espaciador. No pareces un gran comprador, precisamente.
"
38,"Taris Citizen: Hey - you're the Mysterious Stranger! I saw you take out Bendak. Very harsh, man! You're one stone cold killer!","Ciudadano de Taris: ¡Oye, tú eres el Forastero Misterioso! Te vi acabar con Bendak. ¡Qué brutal, tío! ¡Eres un asesino de sangre fría!
"
39,Player: I don't get it. Is this the Star Forge?,"Jugador: No lo entiendo. ¿Es esta la Fragua Estelar?
"
40,"Sslamoth: Very well, but before we place your swoop in the starting position, I must collect the 100 credit fee.","Sslamoth: Muy bien, pero antes de colocar tu deslizador en la posición de salida, debo cobrar la tarifa de 100 créditos.
"
41,Conversation owner: [This door is locked and will not open at the moment.],"[Esta puerta está cerrada con llave y no se abrirá por ahora.]
"
42,Yuthura Ban: Speak with Master Uthar; he will give you the final test.,"Yuthura Ban: Habla con el Maestro Uthar; él te dará la prueba final.
"
43,Player: You should not keep worrying like this.,"Jugador: No deberías seguir preocupándote así.
"
44,Junkpile Droid: You leave the droid alone for now.,"Droid chatarrero: Deja al droide en paz por ahora.
"
45,"Carth: *whisper* It's obvious he doesn't believe you. He must have some reason for letting you get away with this lie. I swear, I'll never understand these Jedi.","Carth: *susurrando* Es obvio que no te cree. Debe tener alguna razón para dejarte salirte con esta mentira. Te juro que nunca entenderé a estos Jedi.
"
46,Carth: Why did you do that? Sometimes... sometimes I just can't understand how you can be so cruel.,"Carth: ¿Por qué hiciste eso? A veces... a veces simplemente no entiendo cómo puedes ser tan cruel.
"
47,"Garm Totryl: New swoop jocks like me don't get much respect. Just takes practice, I guess.","Garm Totryl: Los novatos como yo no recibimos mucho respeto en las carreras de swoop. Supongo que solo se necesita práctica.
"
48,Player: Is there some point to this?,"Jugador: ¿Acaso esto tiene algún sentido?
"
49,Docking Bay Guard: We'll watch your ship like any other. The bay is safe.,"Guardia del hangar: Vigilaremos tu nave como cualquier otra. El hangar es seguro.
"
50,"Player: My money is my own business.
Yuka Laka: Of course it is, of course, but you must appreciate the finer things. Just take a look at the droid I have available. An HK-47.","Jugador: Mi dinero es asunto mío.
Yuka Laka: Por supuesto que sí, por supuesto, pero debe apreciar las cosas buenas. Eche un vistazo al droide que tengo disponible. Un HK-47.
"
51,"Player: What's this? Love advice from an old Jedi?
Jolee: And why not? All this nonsense about avoiding love is so much foo-foo. I shouldn't be the only one who realizes that.","Jugador: ¿Qué es esto? ¿Consejos amorosos de un viejo Jedi?
Jolee: ¿Y por qué no? Toda esta tontería de evitar el amor es pura pamplina. No debería ser el único que se da cuenta de eso.
"
52,"Player: I will race, and I will win.
Hukta Jax: Then you and Hukta Jax are gonna have problems, I promise you that. You was warned, fair and square.","Jugador: Correré, y ganaré.
Hukta Jax: Entonces tú y Hukta Jax van a tener problemas, te lo prometo. Se te advirtió, limpio y claro.
"
53,"Player: Perhaps you are right. You are safe... for now.
Komad Fortuna: There seems to be no reason for your anger, human. You would be wise to control it, lest it bury you.","Jugador: Quizás tengas razón. Estás a salvo... por ahora.
Komad Fortuna: No parece haber motivo para tu ira, humano. Serías sabio si la controlaras, no sea que te sepulte.
"
54,"Player: Sorry, I'll be going now.
Sith Trooper: Good. Get back to your patrol route. We need to keep a strong presence in the streets to maintain order here.","Jugador: Lo siento, me voy ya.
Soldado Sith: Bien. Vuelve a tu ruta de patrulla. Necesitamos mantener una fuerte presencia en las calles para mantener el orden aquí.
"
55,"Player: It's nothing special.
Shaleena: Not to you, I suppose. But you're probably used to its beauty by now.","Jugador: No es nada del otro mundo.
Shaleena: Supongo que no para ti. Pero probablemente ya te hayas acostumbrado a su belleza.
"
56,"Player: No! This isn't the Bastila I knew!
Conversation owner: Of course not! I have been reborn in the wake of destiny... *your* destiny! The power of the dark side is yours by right!","Jugador: ¡No! ¡Esta no es la Bastila que yo conocía!
Interlocutor: ¡Por supuesto que no! He renacido a la luz del destino... ¡*tu* destino! ¡El poder del lado oscuro te pertenece por derecho!
"
57,"Player: I just want to talk.
Juhani: Talk?! You who have beaten me so easily just want to talk? I do not believe it. Kill me now, while you still have the power.","Jugador: Solo quiero hablar.

Juhani: ¡¿Hablar?! ¿Tú, que me has derrotado tan fácilmente, solo quieres hablar? No lo creo. Mátame ahora, mientras aún tienes el poder.
"
58,"Player: I don't know. Everything has changed, now.
Conversation owner: That's what I feared. Who's to say your old life won't come back... everything you felt and thought, all of it?","Jugador: No lo sé. Todo ha cambiado, ahora.

Interlocutor: Eso es lo que temía. ¿Quién asegura que tu antigua vida no regresará... todo lo que sentiste y pensaste, todo?
"
59,"Mandalorian Mercenary: So the Sith smoked a Jedi outpost on Dantooine. No survivors, or so they say. First Taris, now Dantooine. Wouldn't surprise me if the Republic starts hiring mercs to make a counter attack.
Mandalorian Mercenary: They might even hire some Echani or Iridorian mercenaries, if they're desperate. I bet a Mandalorian could make some good money working for the Republic right now.","Mercenario Mandaloriano: Así que los Sith arrasaron un puesto Jedi en Dantooine. No hubo supervivientes, o eso dicen. Primero Taris, ahora Dantooine. No me sorprendería que la República empezara a contratar mercenarios para contraatacar.
Mercenario Mandaloriano: Puede que incluso contraten a algunos mercenarios echani o iridorianos, si están desesperados. Apuesto a que un mandaloriano podría ganar buen dinero trabajando para la República ahora mismo.
"
60,"Player: [Computer] Gas room. (<CUSTOM32> spike(s))
Conversation owner: [SUCCESS] SWITCHING TO CAMERA.","Jugador: [Ordenador] Sala de gas. (<CUSTOM32> pico(s))
Sistema: [ÉXITO] CAMBIANDO A CÁMARA.
"
61,"Player: Who are you?
Daviktroop041: That's Canderous Ordo! He's the most famous Mandalorian mercenary in this sector of the galaxy!","Jugador: ¿Quién eres?
Daviktroop041: ¡Ese es Canderous Ordo! ¡Es el mercenario mandaloriano más famoso de este sector de la galaxia!
"
62,"Player: I remember you. Mekel, right?
Mekel: That's right. You might as well just go home, you know. There can only be one Sith this year, and that's me.","Jugador: Te recuerdo. Mekel, ¿verdad?
Mekel: Correcto. Bien podrías irte a casa, ¿sabes? Solo puede haber un Sith este año, y ese soy yo.
"
