,original,gemini_translation
0,"Garm Totryl: You are crazy-fast, you know that? I saw your races and... well, I'm just amazed. What do you need?","Garm Totryl: Cậu nhanh thật đấy, biết không? Tớ xem cậu đua rồi... và, tớ chỉ biết là quá kinh ngạc. Cậu cần gì nào?
"
1,"Wookiee Guard: Chuundar has said that you can remain here, but watch where you step while in our village, outsider.","Vệ binh Wookiee: Chuundar đã cho phép ngươi ở lại đây, nhưng hãy để ý bước chân khi ở trong làng của chúng ta, kẻ ngoài tộc.
"
2,Rwookrrorro Guard: Take your concerns to Janos at the docking port. Rwookrrorro is under the joint protection of Chuundar and Czerka Corporation.,"Lính gác Rwookrrorro: Hãy đem những lo lắng của ngươi đến Janos ở khu vực bến tàu. Rwookrrorro đang được bảo vệ bởi Chuundar và Tập đoàn Czerka.
"
3,"Sith Teacher: Now if you will excuse me, I must return to my studies.","Sư phụ Sith: Giờ thì xin thứ lỗi, ta phải trở lại nghiên cứu.
"
4,Player: Tell me about Sunry and Elassa.,"Người chơi: Kể ta nghe về Sunry và Elassa.
"
5,"Conversation owner: You aren't assigned to the excavation team, are you?","Chủ cuộc trò chuyện: Ngươi không thuộc đội khai quật, phải không?
"
6,"VulkarMech01: Back again, rookie? How things going? Everyone treating you okay? Is there something you need?","VulkarMech01: Lại tới nữa hả, tân binh? Sao rồi, mọi thứ ổn chứ? Mọi người đối xử tốt với cậu chứ? Cậu cần gì sao?
"
7,"Gandroff: Uh, keep safe. Yup. Yup. Seems like tough times are coming.","Gandroff: Ừ, bảo trọng nhé. Ừ. Ừ. Có vẻ như thời buổi khó khăn sắp đến rồi.
"
8,"Conversation owner: I don't mind this place, but I wish it wasn't so close to the bounty office. Those guys are hired killers - I don't like it when they come in here for a drink.","Chủ quán: Ta không ngại cái chỗ này, nhưng ước gì nó đừng có gần cái văn phòng săn tiền thưởng kia. Mấy gã đó toàn là sát thủ được thuê cả - ta không thích khi chúng nó vào đây uống rượu chút nào.
"
9,"Player: Your tricks don't fool me, Rulan!","Người chơi: Mấy trò hề của ngươi không qua mắt được ta đâu, Rulan!
"
10,"Bastila: I can feel the power of the Force within you, old man, but I do not sense the taint of the dark side. I think you are a servant of the light, despite what you claim.","Bastila: Ta có thể cảm nhận sức mạnh của Thần Lực trong ông, lão già, nhưng ta không thấy dấu vết của bóng tối. Ta nghĩ ông là người của ánh sáng, bất chấp những gì ông nói.
"
11,Player: Forget it. Let's just get to the racing!,"Bỏ đi. Vào đua thôi!
"
12,Carth: Sounds like you've got a faulty droid on your hands.,"Carth: Nghe có vẻ như cậu đang gặp rắc rối với một con droid bị lỗi rồi.
"
13,Envirosuit dude2: That was a truly noble act. The Jedi Council would be pleased.,"Gã Envirosuit 2: Đó quả là một hành động cao thượng. Hội đồng Jedi sẽ rất hài lòng.
"
14,"Conversation owner: You knew I would one day challenge you for supremacy, but you underestimated me. I acted sooner than you expected and seized the Sith throne with a single brilliant stroke!","Ngươi biết sẽ có ngày ta thách thức ngôi vị tối cao của ngươi, nhưng ngươi đã đánh giá thấp ta. Ta đã hành động sớm hơn ngươi dự đoán và đoạt lấy ngôi Sith bằng một nước cờ thiên tài!
"
15,Player: We should get going.,"Người chơi: Chúng ta nên đi thôi.
"
16,"Gandroff: That's an old track tale, you know; when the wind decides to stop fighting? I used to have that. Heh... not any more.","Gandroff: Đó là truyện cổ rồi, cậu biết đấy; khi gió quyết định ngừng chiến đấu? Ta từng có thứ đó. Hừ... giờ thì không còn nữa.
"
17,"Sith Soldier: Kolto's real scarce all of a sudden. From what I hear, the Republic is to blame.","Lính Sith: Dạo này kolto khan hiếm thật. Nghe nói là do lũ Cộng Hòa gây ra cả đấy.
"
18,Czerka Merchant Officer: Go to the Czerka offices if you want a job. I'm off duty.,"Viên chức Thương gia Czerka: Đến văn phòng Czerka nếu ngươi muốn việc làm. Ta hết giờ rồi.
"
19,Sith Student: Word is that one of our experimental droids went mad and escaped and is hiding in the ruins. I wonder why we don't just gather it up and destroy it?,"Đệ Tử Sith: Nghe nói một trong những con droid thử nghiệm của chúng ta bị điên và trốn thoát, đang lẩn trốn trong đống đổ nát. Ta tự hỏi tại sao chúng ta không tóm nó lại và phá hủy nó đi nhỉ?
"
20,"Woman: I can't believe the Sith put a quarantine on the planet! It's bad enough we can't leave, but all you off-worlders are stuck here, too!","Người phụ nữ: Tôi không thể tin được lũ Sith lại phong tỏa hành tinh này! Chúng tôi không thể rời đi đã đủ tệ rồi, mà tất cả dân ngoài hành tinh như các người cũng mắc kẹt ở đây nữa!
"
21,K-X12b Battle Droid: Group Status by Unit: K-X12c: Primary motivators offline. Error introduced by Slimeball Must Die subscript.,"K-X12b Battle Droid: Báo cáo trạng thái nhóm theo đơn vị: K-X12c: Động cơ chính ngoại tuyến. Lỗi phát sinh từ lệnh con ""Slimeball Must Die"".
"
22,"Player: I guess we'll do this the hard way, then.","Vậy thì đành phải dùng biện pháp mạnh thôi.
"
23,"Duel Spectator: You'd think Duncan would want to retire after losing to a raw rookie, but old Deadeye is still at it. Gotta admire his persistence, I guess.","Khán giả đấu trường: Tưởng Duncan thua một thằng nhãi ranh mới vào nghề thì phải giải nghệ rồi chứ, ai ngờ Lão Đại Bàng vẫn lì lợm thật. Cũng phải nể cái sự dai dẳng của lão ta đấy.
"
